ISO,Rank2018,FR_Country,EN_country,ES_country,Score 2018,Progression RANK,Rank 2017,Score 2017,Zone,Diff Prog Score,Score Exa,Score A
BRA,102,Brésil,Brazil,Brasil,"31,20",1,103,"33,58",Amériques,"-2,37619146525605","48,9","26,78"
MNE,103,Monténégro,Montenegro,Montenegro,"31,21",3,106,"33,65",UE Balkans,"-2,43358409423449",0,"31,21"
GIN,104,Guinée,Guinea,Guinea,"31,90",-3,101,"33,15",Afrique,"-1,24790819174664","24,8","31,9"
KWT,105,Koweït,Kuwait,Kuwait,"31,91",-1,104,"33,61",MENA,"-1,70315969162413",0,"31,91"
NPL,106,Népal,Nepal,Nepal,"32,05",-6,100,"33,02",Asie-Pacifique,"-0,972929156782733",23,"31,96"
PRY,107,Paraguay,Paraguay,Paraguay,"32,32",3,110,"35,64",Amériques,"-3,31964988895192",11,"32,32"
GAB,108,Gabon,Gabon,Repœblica Gabonesa,"32,37",0,108,"34,83",Afrique,"-2,45926418929069","30,9","31,98"
MKD,109,Macédoine,Macedonia,Repœblica de Macedonia,"32,43",2,111,"35,74",UE Balkans,"-3,31126700380914","13,9","32,43"
BOL,110,Bolivie,Bolivia,Bolivia,"32,45",-3,107,"33,88",Amériques,"-1,42954152952806","17,9","32,45"
BGR,111,Bulgarie,Bulgaria,Bulgaria,"35,22",-2,109,"35,01",UE Balkans,"0,217459320771404",0,"35,22"
CAF,112,République centrafricaine,Central African Republic,Repœblica Centroafricana,"35,25",1,113,"36,12",Afrique,"-0,860644121600096",11,"35,25"
ZMB,113,Zambie,Zambia,Zambia,"35,36",1,114,"36,48",Afrique,"-1,12855109009455",23,"35,02"
COG,114,Congo,Congo,Repœblica del Congo,"35,42",1,115,"36,73",Afrique,"-1,31695303168783","31,4","35,42"
MLI,115,Mali,Mali,Malí,"36,15",1,116,"38,27",Afrique,"-2,11814077240477",0,"36,15"
GTM,116,Guatemala ,Guatemala,Guatemala,"36,17",2,118,"39,33",Amériques,"-3,1627975033186",11,"36,17"
UGA,117,Ouganda,Uganda,Uganda,"36,77",-5,112,"35,94",Afrique,"0,826318061191664","35,6","36,19"
AFG,118,Afghanistan,Afghanistan,Afganistàn,"37,28",2,120,"39,46",Asie-Pacifique,"-2,17421309101802","68,3","29,53"
NGA,119,Nigeria,Nigeria,Nigeria,"37,41",3,122,"39,69",Afrique,"-2,28036635462976","41,1","36,48"
MDV,120,Maldives,Maldives,Maldivas,"37,95",-3,117,"39,30",Asie-Pacifique,"-1,34859674949017","45,7","35,85"
AGO,121,Angola,Angola,Angola,"38,35",4,125,"40,42",Afrique,"-2,07139292626776",0,"38,35"
GMB,122,Gambie,Gambia,Gambia,"38,36",21,143,"46,70",Afrique,"-8,34653951304104",0,"38,36"
