ISO,Rank2014,FR_Country,EN_country,ES_country,Score 2014,Progression RANK,Rank 2013,Score 2013,Zone,Diff Prog Score ,Score Exa,ScoreA
ZMB,93,Zambie,Zambia,Zambia,"30,89",-21,72,"27,93",Afrique,"2,96",,
BOL,94,Bolivie,Bolivia,Bolivia,"31,04",15,109,"32,8",Amériques,"-1,76",,
ECU,95,Equateur,Ecuador,Ecuador,"31,16",24,119,"34,69",Amériques,"-3,53",,
ISR,96,Israël,Israel,Israel,"31,19",16,112,"32,97",MENA,"-1,78",,
KGZ,97,Kirghizstan,Kyrgyzstan,Kirguistàn,"31,24",9,106,"32,2",EEAC,"-0,960000000000004",,
GAB,98,Gabon,Gabon,Repœblica Gabonesa,"31,32",-9,89,"28,69",Afrique,"2,63",,
GRC,99,Grèce,Greece,Grecia,"31,33",-15,84,"28,46",UE Balkans,"2,87",,
BGR,100,Bulgarie,Bulgaria,Bulgaria,"31,42",-13,87,"28,58",UE Balkans,"2,84",,
CIV,101,Côte d'Ivoire,Ivory Coast,Costa de Marfil,"31,63",-5,96,"29,77",Afrique,"1,86",,
GIN,102,Guinée,Guinea,Guinea,"31,67",-16,86,"28,49",Afrique,"3,18",,
SYC,103,Seychelles,Seychelles,Seychelles,"31,68",-10,93,"29,19",Afrique,"2,49",,
PER,104,Perou,Peru,Peru,"31,7",1,105,"31,87",Amériques,"-0,170000000000002",,
PRY,105,Paraguay,Paraguay,Paraguay,"31,81",-14,91,"28,78",Amériques,"3,03",,
LBN,106,Liban,Lebanon,Líbano,"31,89",-5,101,"30,15",MENA,"1,74",,
FJI,107,Fidji,Fiji,Fiyi,"32,57",0,107,"32,69",Asie-Pacifique,"-0,119999999999997",,
MDV,108,Maldives,Maldives,Maldivas,"33,11",-5,103,"31,1",Asie-Pacifique,"2,01",,
CAF,109,République centrafricaine,Central African Republic,Repœblica Centroafricana,"33,13",-44,65,"26,61",Afrique,"6,52",,
UGA,110,Ouganda,Uganda,Uganda,"33,29",-6,104,"31,69",Afrique,"1,6",,
BRA,111,Brésil,Brazil,Brasil,"34,03",-3,108,"32,75",Amériques,"1,28",,
NGA,112,Nigeria,Nigeria,Nigeria,"34,24",3,115,"34,11",Afrique,"0,130000000000003",,
QAT,113,Qatar,Qatar,Catar,"34,32",-3,110,"32,86",MENA,"1,46",,
MNE,114,Monténégro,Montenegro,Montenegro,"34,78",-1,113,"32,97",UE Balkans,"1,81",,
TJK,115,Tadjikistan,Tajikistan,Tayikistàn,"34,86",8,123,"35,71",EEAC,"-0,850000000000001",,
VEN,116,Venezuela,Venezuela,Venezuela,"35,37",1,117,"34,44",Amériques,"0,93",,
BRN,117,Brunei,Brunei Darussalam,Brunéi,"35,45",5,122,"35,45",Asie-Pacifique,0,,
ARE,118,Émirats arabes unis,United Arab Emirates,Emiratos çrabes Unidos,"36,03",-4,114,"33,49",MENA,"2,54",,
SSD,119,Soudan du Sud,South Sudan,Sudàn del Sur,"36,05",5,124,"36,2",Afrique,"-0,150000000000006",,
NPL,120,Népal,Nepal,Nepal,"36,16",-2,118,"34,61",Asie-Pacifique,"1,55",,
DZA,121,Algérie,Algeria,Argelia,"36,26",4,125,"36,54",MENA,"-0,280000000000001",,
MLI,122,Mali,Mali,Malí,"36,29",-23,99,"30,03",Afrique,"6,26",,
MKD,123,Macédoine,Macedonia,Repœblica de Macedonia,"36,43",-7,116,"34,27",UE Balkans,"2,16",,
AGO,124,Angola,Angola,Angola,"36,5",6,130,"37,8",Afrique,"-1,3",,
GTM,125,Guatemala ,Guatemala,Guatemala,"36,61",-30,95,"29,39",Amériques,"7,22",,
