ISO,Rank2015,FR_Country,EN_country,ES_country,Score 2015,Progression RANK,Rank 2014,Score 2014,Zone,Diff Prog Score ,Score Exa,ScoreA
ZAF,39,Afrique du Sud,South Africa,Sudàfrica,"22,06",3,42,"23,19",Afrique,"-1,13","10,99","22,06"
WSM,40,Samoa,Samoa,Samoa,"22,32",0,40,"22,02",Asie-Pacifique,"0,300000000000001",0,"22,32"
TTO,41,Trinité-et-Tobago,Trinidad and Tobago,Trinidad y Tobago,"22,39",2,43,"23,28",Amériques,"-0,890000000000001",0,"22,39"
BWA,42,Botswana,Botswana,Botsuana,"22,91",-1,41,"22,91",Afrique,0,"6,93","22,91"
CHL,43,Chili,Chile,Chile,23,15,58,"25,8",Amériques,"-2,8","25,65","22,33"
TON,44,Tonga,Tonga,Tonga,"23,37",19,63,"26,7",Asie-Pacifique,"-3,33",0,"23,37"
SLV,45,El Salvador,El Salvador,El Salvador,"23,66",-7,38,"21,57",Amériques,"2,09","23,03","23,66"
BFA,46,Burkina Faso,Burkina Faso,Burkina Faso,"23,79",6,52,"24,45",Afrique,"-0,66","17,92","23,79"
NER,47,Niger,Niger,Niger,"23,85",1,48,"23,59",Afrique,"0,260000000000002","24,85","23,6"
MLT,48,Malte,Malta,Malta,"24,16",3,51,"23,84",UE Balkans,"0,32",0,"24,16"
USA,49,Etats Unis,United States,Estados Unidos,"24,41",-3,46,"23,49",Amériques,"0,920000000000002","31,78","22,57"
COM,50,Comores,Comoros,Comoras,"24,52",3,53,"24,52",Afrique,0,0,"24,52"
TWN,51,Taïwan,Taiwan,Taiwàn,"24,83",-1,50,"23,82",Asie-Pacifique,"1,01","28,9","23,82"
ROU,52,Roumanie,Romania,Rumania,"24,9",-7,45,"23,48",UE Balkans,"1,42","20,79","24,9"
HTI,53,Haïti,Haiti,Haití,"25,08",-6,47,"23,53",Amériques,"1,55","30,45","23,74"
MNG,54,Mongolie,Mongolia,Mongolia,"25,25",34,88,"30,3",Asie-Pacifique,"-5,05",0,"25,25"
MRT,55,Mauritanie,Mauritania,Mauritania,"25,27",5,60,"26,53",Afrique,"-1,26","19,46","25,27"
PNG,56,Papouasie-Nouvelle-Guinée,Papua New Guinea,Papœa Nueva Guinea,"25,87",-12,44,"23,46",Asie-Pacifique,"2,41","16,09","25,87"
ARG,57,Argentine,Argentina,Argentina,"26,11",-2,55,"25,27",Amériques,"0,84","47,96","20,64"
HRV,58,Croatie,Croatia,Croacia,"26,12",7,65,"26,82",UE Balkans,"-0,699999999999999","24,85","26,12"
MWI,59,Malawi,Malawi,Malaui,"26,41",14,73,"28,29",Afrique,"-1,88",0,"26,41"
KOR,60,Corée du Sud,South Korea,Corea del Sur,"26,55",-3,57,"25,66",Asie-Pacifique,"0,890000000000001","16,09","26,55"
JPN,61,Japon,Japan,Japón,"26,95",-2,59,"26,02",Asie-Pacifique,"0,93",0,"26,95"
GUY,62,Guyana,Guyana,Guyana,"27,21",5,67,"27,08",Amériques,"0,130000000000003",0,"27,21"
DOM,63,République dominicaine,Dominican Republic,Repœblica Dominicana,"27,31",5,68,"27,17",Amériques,"0,139999999999997","28,33","27,05"
MDG,64,Madagascar,Madagascar,Madagascar,"27,43",17,81,"29,38",Afrique,"-1,95","13,86","27,43"
HUN,65,Hongrie,Hungary,Hungría,"27,44",-1,64,"26,73",UE Balkans,"0,710000000000001","13,86","27,44"
BIH,66,Bosnie-Herzégovine,Bosnia and Herzegovina,Bosnia-Herzegovina,"27,51",0,66,"26,86",UE Balkans,"0,650000000000002","30,91","26,66"
SRB,67,Serbie,Serbia,Serbia,"27,66",-13,54,"25,05",UE Balkans,"2,61","35,84","25,62"
MUS,68,Maurice,Mauritius,Mauricio,"27,69",2,70,"27,69",Afrique,0,0,"27,69"
GEO,69,Géorgie,Georgia,Georgia,"27,7",15,84,"29,78",EEAC,"-2,08","23,98","27,7"
HKG,70,Hong-Kong,Hong Kong,Hong Kong,"27,76",-9,61,"26,55",Asie-Pacifique,"1,21","21,97","27,76"
SEN,71,Sénégal,Senegal,Senegal,"27,77",-9,62,"26,68",Afrique,"1,09","13,86","27,77"
MDA,72,Moldavie,Moldova,Moldavia,"27,85",-16,56,"25,35",EEAC,"2,5","34,34","26,23"
ITA,73,Italie,Italy,Italia,"27,94",-24,49,"23,75",UE Balkans,"4,19","43,31","24,09"
NIC,74,Nicaragua,Nicaragua,Nicaragua,"27,94",-3,71,"27,7",Amériques,"0,240000000000002","28,9","27,7"
TZA,75,Tanzanie,Tanzania,Tanzania,"28,09",-6,69,"27,3",Afrique,"0,789999999999999","10,99","28,09"
CTU,76,Chypre (partie Nord),Cyprus North,Chipre Norte,"28,33",7,83,"29,54",UE Balkans,"-1,21",0,"28,33"
LSO,77,Lesotho,Lesotho,Lesoto,"28,36",-3,74,"28,36",Afrique,0,0,"28,36"
ARM,78,Arménie,Armenia,Armenia,"28,43",0,78,"29,07",EEAC,"-0,640000000000001","20,79","28,43"
SLE,79,Sierra Leone,Sierra Leone,Sierra Leona,"28,47",-7,72,"28,23",Afrique,"0,239999999999998","29,44","28,23"
TGO,80,Togo,Togo,Togo,"28,5",-4,76,29,Afrique,"-0,5","17,92","28,5"
GNB,81,Guinée-Bissau,Guinea-Bissau,Guinea-Bisàu,"28,7",5,86,"30,05",Afrique,"-1,35",0,"28,7"
ALB,82,Albanie,Albania,Albania,"28,77",3,85,"29,92",UE Balkans,"-1,15","21,97","28,77"
PAN,83,Panama,Panama,Panamà,"28,98",4,87,"30,2",Amériques,"-1,22",0,"28,98"
BEN,84,Bénin,Benin,Benín,"29,24",-9,75,"28,83",Afrique,"0,41","6,93","29,24"
MOZ,85,Mozambique,Mozambique,Mozambique,"29,98",-6,79,"29,26",Afrique,"0,719999999999999","19,46","29,98"
CIV,86,Côte d'Ivoire,Ivory Coast,Costa de Marfil,"30,45",15,101,"31,63",Afrique,"-1,18","23,98","30,45"
XKO,87,Kosovo,Kosovo,Kosovo,"30,63",-7,80,"29,29",UE Balkans,"1,34","21,97","30,63"
KGZ,88,Kirghizstan,Kyrgyzstan,Kirguistàn,"30,69",9,97,"31,24",EEAC,"-0,549999999999997","19,46","30,69"
LBR,89,Liberia,Liberia,Liberia,"30,78",0,89,"30,65",Afrique,"0,130000000000003","20,79","30,78"
KWT,90,Koweït,Kuwait,Kuwait,"30,84",1,91,"30,71",MENA,"0,129999999999999","31,35","30,71"
GRC,91,Grèce,Greece,Grecia,"31,01",8,99,"31,33",UE Balkans,"-0,319999999999997","13,86","31,01"
PER,92,Perou,Peru,Peru,"31,21",12,104,"31,7",Amériques,"-0,489999999999998","37,38","29,67"
FJI,93,Fidji,Fiji,Fiyi,"31,28",14,107,"32,57",Asie-Pacifique,"-1,29","6,93","31,28"
BOL,94,Bolivie,Bolivia,Bolivia,"31,29",0,94,"31,04",Amériques,"0,25","35,55","30,22"
GAB,95,Gabon,Gabon,Repœblica Gabonesa,"31,38",3,98,"31,32",Afrique,"0,059999999999999","26,39","31,38"
SYC,96,Seychelles,Seychelles,Seychelles,"31,55",7,103,"31,68",Afrique,"-0,129999999999999",0,"31,55"
UGA,97,Ouganda,Uganda,Uganda,"31,65",13,110,"33,29",Afrique,"-1,64","37,61","30,16"
LBN,98,Liban,Lebanon,Líbano,"31,81",8,106,"31,89",MENA,"-0,080000000000002","23,98","31,81"
BRA,99,Brésil,Brazil,Brasil,"31,93",12,111,"34,03",Amériques,"-2,1","56,56","25,77"
KEN,100,Kenya,Kenya,Kenia,"32,07",-10,90,"30,7",Afrique,"1,37","34,66","31,42"
ISR,101,Israël,Israel,Israel,"32,09",-5,96,"31,19",MENA,"0,900000000000002","54,55","26,47"
GIN,102,Guinée,Guinea,Guinea,"32,56",0,102,"31,67",Afrique,"0,890000000000001","56,2","26,65"
TLS,103,Timor-Leste,East Timor,Timor Oriental,"32,63",-26,77,"29,04",Asie-Pacifique,"3,59",0,"32,63"
BTN,104,Bhoutan,Bhutan,Butàn,"32,65",-12,92,"30,73",Asie-Pacifique,"1,92",0,"32,65"
NPL,105,Népal,Nepal,Nepal,"32,71",15,120,"36,16",Asie-Pacifique,"-3,45","42,48","30,27"
BGR,106,Bulgarie,Bulgaria,Bulgaria,"32,91",-6,100,"31,42",UE Balkans,"1,49","20,79","32,91"
COG,107,Congo,Congo,Repœblica del Congo,33,-25,82,"29,44",Afrique,"3,56","16,09",33
ECU,108,Equateur,Ecuador,Ecuador,"33,65",-13,95,"31,16",Amériques,"2,49","39,51","32,19"
PRY,109,Paraguay,Paraguay,Paraguay,"33,74",-4,105,"31,81",Amériques,"1,93","52,31","29,1"
CAF,110,République centrafricaine,Central African Republic,Repœblica Centroafricana,"33,84",-1,109,"33,13",Afrique,"0,710000000000001","52,93","29,07"
NGA,111,Nigeria,Nigeria,Nigeria,"34,09",1,112,"34,24",Afrique,"-0,149999999999999",45,"31,36"
MDV,112,Maldives,Maldives,Maldivas,"34,32",-4,108,"33,11",Asie-Pacifique,"1,21","28,9","34,32"
ZMB,113,Zambie,Zambia,Zambia,"34,35",-20,93,"30,89",Afrique,"3,46","17,92","34,35"
MNE,114,Monténégro,Montenegro,Montenegro,"34,63",0,114,"34,78",UE Balkans,"-0,149999999999999","13,86","34,63"
QAT,115,Qatar,Qatar,Catar,"35,35",-2,113,"34,32",MENA,"1,03","10,99","35,35"
TJK,116,Tadjikistan,Tajikistan,Tayikistàn,"36,19",-1,115,"34,86",EEAC,"1,33","37,38","35,89"
MKD,117,Macédoine,Macedonia,Repœblica de Macedonia,"36,26",6,123,"36,43",UE Balkans,"-0,170000000000002","16,09","36,26"
MLI,118,Mali,Mali,Malí,"36,33",4,122,"36,29",Afrique,"0,039999999999999","51,93","32,43"
DZA,119,Algérie,Algeria,Argelia,"36,63",2,121,"36,26",MENA,"0,370000000000005","31,35","36,63"
ARE,120,Émirats arabes unis,United Arab Emirates,Emiratos çrabes Unidos,"36,73",-2,118,"36,03",MENA,"0,699999999999996","34,34","36,73"
BRN,121,Brunei,Brunei Darussalam,Brunéi,"36,76",-4,117,"35,45",Asie-Pacifique,"1,31",0,"36,76"
AFG,122,Afghanistan,Afghanistan,Afganistàn,"37,44",6,128,"37,07",Asie-Pacifique,"0,369999999999997","61,57","31,4"
AGO,123,Angola,Angola,Angola,"37,84",1,124,"36,5",Afrique,"1,34","6,93","37,84"
GTM,124,Guatemala ,Guatemala,Guatemala,"37,92",1,125,"36,61",Amériques,"1,31","48,44","35,29"
SSD,125,Soudan du Sud,South Sudan,Sudàn del Sur,"38,04",-6,119,"36,05",Afrique,"1,99","28,33","38,04"
TUN,126,Tunisie,Tunisia,Tœnez,"38,68",7,133,"38,69",MENA,"-0,009999999999998","49,45","35,99"
OMN,127,Oman,Oman,Omàn,"38,83",7,134,"38,83",MENA,0,"16,09","38,83"
COL,128,Colombie,Colombia,Colombia,"39,08",-2,126,"36,68",Amériques,"2,4","55,53","34,96"
UKR,129,Ukraine,Ukraine,Ucrania,"39,1",-2,127,"36,93",EEAC,"2,17","73,17","30,18"
MAR,130,Maroc,Morocco,Marruecos,"39,19",6,136,"39,72",MENA,"-0,530000000000001","20,79","39,19"
ZWE,131,Zimbabwe,Zimbabwe,Zimbabue,"39,19",4,135,"39,19",Afrique,0,"31,78","39,19"
HND,132,Honduras,Honduras,Honduras,"39,27",-3,129,"37,14",Amériques,"2,13","60,64","33,93"
CMR,133,Cameroun,Cameroon,Camerœn,"39,63",-2,131,"38,13",Afrique,"1,5","27,08","39,63"
THA,134,Thaïlande,Thailand,Tailandia,"40,07",-4,130,"37,94",Asie-Pacifique,"2,13","54,25","36,52"
TCD,135,Tchad,Chad,Chad,"40,17",4,139,"40,22",Afrique,"-0,049999999999997","6,93","40,17"
IND,136,Inde,India,India,"40,49",4,140,"40,34",Asie-Pacifique,"0,149999999999999","59,58","35,72"
VEN,137,Venezuela,Venezuela,Venezuela,"40,61",-21,116,"35,37",Amériques,"5,24","60,8","35,57"
IDN,138,Indonésie,Indonesia,Indonesia,"40,75",-6,132,"38,15",Asie-Pacifique,"2,6","27,08","40,75"
KHM,139,Cambodge,Cambodia,Camboya,"40,99",5,144,"40,97",Asie-Pacifique,"0,020000000000003","30,91","40,99"
PSE,140,Palestine,Palestine,Palestina,"41,01",-2,138,"40,11",MENA,"0,899999999999999","52,42","38,16"
PHL,141,Philippines,Philippines,Filipinas,"41,19",8,149,"43,69",Asie-Pacifique,"-2,5","61,36","36,14"
ETH,142,Éthiopie,Ethiopia,Etiopía,"41,83",1,143,"40,58",Afrique,"1,25","64,07","36,28"
JOR,143,Jordanie,Jordan,Jordania,"42,07",-2,141,"40,42",MENA,"1,65","17,92","42,07"
MMR,144,Birmanie,Myanmar,Birmania,"42,08",1,145,"41,43",Asie-Pacifique,"0,649999999999999","51,87","39,63"
BDI,145,Burundi,Burundi,Burundi,"42,93",-3,142,"40,5",Afrique,"2,43","17,92","42,93"
BGD,146,Bangladesh,Bangladesh,Bangladés,"42,95",0,146,"42,58",Asie-Pacifique,"0,370000000000005","52,57","40,54"
MYS,147,Malaisie,Malaysia,Malasia,"43,29",0,147,"42,73",Asie-Pacifique,"0,560000000000002","21,97","43,29"
MEX,148,Mexique,Mexico,México,"43,69",4,152,"45,04",Amériques,"-1,35","63,19","38,82"
TUR,149,Turquie,Turkey,Turquía,"44,16",5,154,"45,87",EEAC,"-1,71","64,89","38,97"
COD,150,RD Congo,The Democratic Republic Of The Congo,RD Congo,"44,31",1,151,"44,64",Afrique,"-0,329999999999998","52,52","42,25"
GMB,151,Gambie,Gambia,Gambia,"44,5",4,155,"46,42",Afrique,"-1,92","45,64","44,21"
RUS,152,Russie,Russian Federation,Rusia,"44,97",-4,148,"42,78",EEAC,"2,19","60,38","41,11"
SGP,153,Singapour    ,Singapore,Singapur,"45,87",-3,150,"44,29",Asie-Pacifique,"1,58",0,"45,87"
LBY,154,Libye,Libya,Libia,"45,99",-17,137,"39,84",MENA,"6,15","67,3","40,66"
SWZ,155,Swaziland,Swaziland,Suazilandia,"47,28",1,156,"46,76",Afrique,"0,520000000000003","26,39","47,28"
IRQ,156,Irak,Iraq,Irak,"47,76",-3,153,"45,44",MENA,"2,32","72,44","41,59"
BLR,157,Bélarus,Belarus,Bielorrusia,"47,98",0,157,"47,82",EEAC,"0,159999999999997","44,66","47,98"
EGY,158,Égypte,Egypt,Egipto,"50,17",1,159,"51,89",MENA,"-1,72","60,98","47,47"
PAK,159,Pakistan,Pakistan,Pakistàn,"50,46",-1,158,"51,46",Asie-Pacifique,-1,"64,91","46,85"
KAZ,160,Kazakhstan,Kazakhstan,Kazajistàn,"53,46",1,161,"54,94",EEAC,"-1,48","41,11","53,46"
RWA,161,Rwanda,Rwanda,Ruanda,"56,57",1,162,"56,57",Afrique,0,"33,32","56,57"
AZE,162,Azerbaïdjan,Azerbaijan,Azerbaiyàn,"58,41",-2,160,"52,87",EEAC,"5,54","60,5","57,88"
BHR,163,Bahreïn,Bahrain,Baréin,"58,69",0,163,"58,26",MENA,"0,43","57,53","58,69"
SAU,164,Arabie saoudite,Saudi Arabia,Arabia Saudita,"59,41",0,164,"58,3",MENA,"1,11","55,98","59,41"
LKA,165,Sri Lanka,Sri Lanka,Sri Lanka,"60,28",0,165,"59,13",Asie-Pacifique,"1,15","40,6","60,28"
UZB,166,Ouzbékistan,Uzbekistan,Uzbekistàn,"61,14",0,166,"61,01",EEAC,"0,130000000000003","66,64","59,77"
GNQ,167,Guinée équatoriale,Equatorial Guinea,Guinea Ecuatorial,"66,23",1,168,"67,95",Afrique,"-1,72","13,86","66,23"
YEM,168,Yémen,Yemen,Yemen,"66,36",-1,167,"67,26",MENA,"-0,900000000000006","51,65","66,36"
CUB,169,Cuba,Cuba,Cuba,"70,21",1,170,"70,92",Amériques,"-0,710000000000008","52,26","70,21"
DJI,170,Djibouti,Djibouti,Yibuti,"71,04",-1,169,"70,34",Afrique,"0,700000000000003","25,65","71,04"
LAO,171,Laos,Lao People's Democratic Republic,Laos,"71,25",0,171,"71,22",Asie-Pacifique,"0,030000000000001","56,02","71,25"
SOM,172,Somalie,Somalia,Somalia,"72,31",4,176,"73,19",Afrique,"-0,879999999999995","53,71","72,31"
IRN,173,Iran,Islamic Republic of Iran,Iràn,"72,32",0,173,"72,29",MENA,"0,029999999999987","78,3","70,82"
SDN,174,Soudan,Sudan,Sudàn,"72,34",-2,172,"71,88",Afrique,"0,460000000000008","52,68","72,34"
VNM,175,Viêt Nam,Vietnam,Vietnam,"72,63",-1,174,"72,36",Asie-Pacifique,"0,269999999999996","74,89","72,06"
CHN,176,Chine,China,China,"73,55",-1,175,"72,91",Asie-Pacifique,"0,640000000000001","89,64","69,53"
SYR,177,Syrie,Syrian Arab Republic,Siria,"77,29",0,177,"77,04",MENA,"0,25","87,11","74,84"
TKM,178,Turkménistan,Turkmenistan,Turkmenistàn,"80,83",0,178,"80,81",EEAC,"0,019999999999996","10,99","80,83"
PRK,179,Corée du Nord,Democratic People's Republic of Korea,Corea del Norte,"83,25",0,179,"81,96",Asie-Pacifique,"1,29000000000001","51,87","83,25"
ERI,180,Érythrée,Eritrea,Eritrea,"84,86",0,180,"84,83",Afrique,"0,030000000000001","31,78","84,86"
