ISO,Rank2015,FR_Country,EN_country,ES_country,Score 2015,Progression RANK,Rank 2014,Score 2014,Zone,Diff Prog Score ,Score Exa,ScoreA
FIN,1,Finlande,Finland,Finlandia,"7,52",0,1,"6,4",UE Balkans,"1,12",0,"7,52"
NOR,2,Norvège,Norway,Noruega,"7,75",1,3,"6,52",UE Balkans,"1,23",0,"7,75"
DNK,3,Danemark,Denmark,Dinamarca,"8,24",4,7,"7,43",UE Balkans,"0,810000000000001",0,"8,24"
NLD,4,Pays-Bas,Netherlands,Países Bajos,"9,22",-2,2,"6,46",UE Balkans,"2,76","16,09","7,5"
SWE,5,Suede,Sweden,Suecia,"9,47",5,10,"8,98",UE Balkans,"0,49",0,"9,47"
NZL,6,Nouvelle-Zélande,New Zealand,Nueva Zelanda,"10,06",3,9,"8,55",Asie-Pacifique,"1,51","16,09","8,55"
AUT,7,Autriche,Austria,Austria,"10,85",5,12,"10,01",UE Balkans,"0,84","13,86","10,1"
CAN,8,Canada,Canada,Canadà,"10,99",10,18,"10,99",Amériques,0,0,"10,99"
JAM,9,Jamaïque,Jamaica,Jamaica,"11,18",8,17,"10,9",Amériques,"0,279999999999999","6,93","11,18"
EST,10,Estonie,Estonia,Estonia,"11,19",1,11,"9,63",UE Balkans,"1,56",0,"11,19"
IRL,11,Irlande,Ireland,Irlanda,"11,2",5,16,"10,87",UE Balkans,"0,33",0,"11,2"
DEU,12,Allemagne,Germany,Alemania,"11,47",2,14,"10,23",UE Balkans,"1,24","16,09","10,32"
CZE,13,République tchèque,Czech Republic,Repœblica Checa,"11,62",0,13,"10,07",UE Balkans,"1,55",0,"11,62"
SVK,14,Slovaquie,Slovakia,Eslovaquia,"11,66",6,20,"11,39",UE Balkans,"0,27",0,"11,66"
BEL,15,Belgique,Belgium,Bélgica,"11,98",8,23,"12,8",UE Balkans,"-0,82",0,"11,98"
CRI,16,Costa Rica,Costa Rica,Costa Rica,"12,26",5,21,"12,23",Amériques,"0,029999999999999",0,"12,26"
NAM,17,Namibie,Namibia,Namibia,"12,5",5,22,"12,5",Afrique,0,0,"12,5"
POL,18,Pologne,Poland,Polonia,"12,71",1,19,"11,03",UE Balkans,"1,68","19,46","11,03"
LUX,19,Luxembourg,Luxembourg,Luxemburgo,"13,61",-15,4,"6,7",UE Balkans,"6,91",0,"13,61"
CHE,20,Suisse,Switzerland,Suiza,"13,85",-5,15,"10,47",UE Balkans,"3,38",0,"13,85"
ISL,21,Islande,Iceland,Islandia,"13,87",-13,8,"8,5",UE Balkans,"5,37",0,"13,87"
GHA,22,Ghana,Ghana,Ghana,"15,5",5,27,"16,29",Afrique,"-0,789999999999999","17,92","14,89"
URY,23,Uruguay,Uruguay,Uruguay,"15,94",3,26,"16,08",Amériques,"-0,139999999999999",0,"15,94"
CYP,24,Chypre,Cyprus,Chipre,"16,52",1,25,"14,45",UE Balkans,"2,07",0,"16,52"
AUS,25,Australie,Australia,Australia,"17,03",3,28,"16,91",Asie-Pacifique,"0,120000000000001","6,93","17,03"
PRT,26,Portugal,Portugal,Portugal,"17,11",4,30,"17,73",UE Balkans,"-0,620000000000001",0,"17,11"
LIE,27,Liechtenstein,Liechtenstein,Liechtenstein,"17,67",-21,6,"7,02",UE Balkans,"10,65",0,"17,67"
LVA,28,Lettonie,Latvia,Letonia,"18,12",9,37,"21,1",UE Balkans,"-2,98",0,"18,12"
SUR,29,Surinam,Suriname,Surinam,"18,2",2,31,"18,2",Amériques,0,0,"18,2"
BLZ,30,Bélize,Belize,Belice,"18,54",-1,29,"17,05",Amériques,"1,49",0,"18,54"
LTU,31,Lituanie,Lithuania,Lituania,"18,8",1,32,"19,2",UE Balkans,"-0,399999999999999","16,09","18,8"
AND,32,Andorre,Andorra,Andorra,"19,87",-27,5,"6,82",UE Balkans,"13,05",0,"19,87"
ESP,33,Espagne,Spain,España,"19,95",2,35,"20,63",UE Balkans,"-0,68","16,09","19,95"
GBR,34,Royaume-Uni,United Kingdom,Reino Unido,20,-1,33,"19,93",UE Balkans,"0,07",0,20
SVN,35,Slovénie,Slovenia,Eslovenia,"20,55",-1,34,"20,38",UE Balkans,"0,170000000000002",0,"20,55"
CPV,36,Cap-Vert,Cape Verde,Cabo Verde,"20,69",-12,24,"14,32",Afrique,"6,37",0,"20,69"
XCD,37,OECS,OECS,OECS,"21,02",-1,36,"20,81",Amériques,"0,210000000000001","17,92","21,02"
FRA,38,France,France,Francia,"21,15",1,39,"21,89",UE Balkans,"-0,740000000000002","24,85","20,23"
