ISO,Rank2016,FR_Country,EN_country,ES_country,Score 2016,Progression RANK,Rank 2015,Score 2015,Zone,Diff Prog Score ,Score Exa,ScoreA
FIN,1,Finlande,Finland,Finlandia,"8,59",0,1,"7,52",UE Balkans,"1,07",0,"8,59"
NLD,2,Pays-Bas,Netherlands,Países Bajos,"8,76",2,4,"9,22",UE Balkans,"-0,460000000000001",0,"8,76"
NOR,3,Norvège,Norway,Noruega,"8,79",-1,2,"7,75",UE Balkans,"1,04",0,"8,79"
DNK,4,Danemark,Denmark,Dinamarca,"8,89",-1,3,"8,24",UE Balkans,"0,65",0,"8,89"
NZL,5,Nouvelle-Zélande,New Zealand,Nueva Zelanda,"10,01",1,6,"10,06",Asie-Pacifique,"-0,050000000000001",0,"10,01"
CRI,6,Costa Rica,Costa Rica,Costa Rica,"11,1",10,16,"12,26",Amériques,"-1,16",0,"11,1"
CHE,7,Suisse,Switzerland,Suiza,"11,76",13,20,"13,85",UE Balkans,"-2,09",0,"11,76"
SWE,8,Suède,Sweden,Suecia,"12,33",-3,5,"9,47",UE Balkans,"2,86",0,"12,33"
IRL,9,Irlande,Ireland,Irlanda,"12,4",2,11,"11,2",UE Balkans,"1,2",0,"12,4"
JAM,10,Jamaïque,Jamaica,Jamaica,"12,45",-1,9,"11,18",Amériques,"1,27",0,"12,45"
AUT,11,Autriche,Austria,Austria,"13,18",-4,7,"10,85",UE Balkans,"2,33",0,"13,18"
SVK,12,Slovaquie,Slovakia,Eslovaquia,"13,26",2,14,"11,66",UE Balkans,"1,6",0,"13,26"
BEL,13,Belgique,Belgium,Bélgica,"14,18",2,15,"11,98",UE Balkans,"2,2","13,86","14,18"
EST,14,Estonie,Estonia,Estonia,"14,31",-4,10,"11,19",UE Balkans,"3,12",0,"14,31"
LUX,15,Luxembourg,Luxembourg,Luxemburgo,"14,43",4,19,"13,61",UE Balkans,"0,82",0,"14,43"
DEU,16,Allemagne,Germany,Alemania,"14,8",-4,12,"11,47",UE Balkans,"3,33","37,14","9,21"
NAM,17,Namibie,Namibia,Namibia,"15,15",0,17,"12,5",Afrique,"2,65","6,93","15,15"
CAN,18,Canada,Canada,Canadà,"15,26",-10,8,"10,99",Amériques,"4,27",0,"15,26"
ISL,19,Islande,Iceland,Islandia,"15,3",2,21,"13,87",UE Balkans,"1,43",0,"15,3"
URY,20,Uruguay,Uruguay,Uruguay,"15,88",3,23,"15,94",Amériques,"-0,059999999999999",0,"15,88"
CZE,21,République tchèque,Czech Republic,Repœblica Checa,"16,66",-8,13,"11,62",UE Balkans,"5,04",0,"16,66"
SUR,22,Surinam,Suriname,Surinam,"16,7",7,29,"18,2",Amériques,"-1,5",0,"16,7"
PRT,23,Portugal,Portugal,Portugal,"17,27",3,26,"17,11",UE Balkans,"0,16",0,"17,27"
LVA,24,Lettonie,Latvia,Letonia,"17,38",4,28,"18,12",UE Balkans,"-0,740000000000002",0,"17,38"
AUS,25,Australie,Australia,Australia,"17,84",0,25,"17,03",Asie-Pacifique,"0,809999999999999","6,93","17,84"
GHA,26,Ghana,Ghana,Ghana,"17,95",-4,22,"15,5",Afrique,"2,45","6,93","17,95"
CYP,27,Chypre,Cyprus,Chipre,"18,26",-3,24,"16,52",UE Balkans,"1,74",0,"18,26"
LIE,28,Liechtenstein,Liechtenstein,Liechtenstein,"18,36",-1,27,"17,67",UE Balkans,"0,689999999999998",0,"18,36"
WSM,29,Samoa,Samoa,Samoa,"18,8",11,40,"22,32",Asie-Pacifique,"-3,52",0,"18,8"
XCD,30,OECS,OECS,OECS,"18,91",7,37,"21,02",Amériques,"-2,11",0,"18,91"
CHL,31,Chili,Chile,Chile,"19,23",12,43,23,Amériques,"-3,77",0,"19,23"
CPV,32,Cap-Vert,Cape Verde,Cabo Verde,"19,82",4,36,"20,69",Afrique,"-0,870000000000001",0,"19,82"
AND,33,Andorre,Andorra,Andorra,"19,87",-1,32,"19,87",UE Balkans,0,0,"19,87"
ESP,34,Espagne,Spain,España,"19,92",-1,33,"19,95",UE Balkans,"-0,029999999999998","6,93","19,92"
LTU,35,Lituanie,Lithuania,Lituania,"19,95",-4,31,"18,8",UE Balkans,"1,15",0,"19,95"
BLZ,36,Bélize,Belize,Belice,"20,61",-6,30,"18,54",Amériques,"2,07",0,"20,61"
TON,37,Tonga,Tonga,Tonga,"21,24",7,44,"23,37",Asie-Pacifique,"-2,13",0,"21,24"
GBR,38,Royaume-Uni,United Kingdom,Reino Unido,"21,7",-4,34,20,UE Balkans,"1,7",0,"21,7"
ZAF,39,Afrique du Sud,South Africa,Sudàfrica,"21,92",0,39,"22,06",Afrique,"-0,139999999999997","16,09","21,92"
SVN,40,Slovénie,Slovenia,Eslovenia,"22,26",-5,35,"20,55",UE Balkans,"1,71",0,"22,26"
USA,41,Etats-Unis,United States,Estados Unidos,"22,49",8,49,"24,41",Amériques,"-1,92","13,86","22,49"
BFA,42,Burkina Faso,Burkina Faso,Burkina Faso,"22,66",4,46,"23,79",Afrique,"-1,13","27,08","21,37"
BWA,43,Botswana,Botswana,Botsuana,"22,91",-1,42,"22,91",Afrique,0,0,"22,91"
TTO,44,Trinité-et-Tobago,Trinidad and Tobago,Trinidad y Tobago,"23,29",-3,41,"22,39",Amériques,"0,899999999999999",0,"23,29"
