ISO,Rank2016,FR_Country,EN_country,ES_country,Score 2016,Progression RANK,Rank 2015,Score 2015,Zone,Diff Prog Score ,Score Exa,ScoreA
FRA,45,France,France,Francia,"23,83",-7,38,"21,15",UE Balkans,"2,68","65,89","13,31"
MLT,46,Malte,Malta,Malta,"23,84",2,48,"24,16",UE Balkans,"-0,32",0,"23,84"
POL,47,Pologne,Poland,Polonia,"23,89",-29,18,"12,71",UE Balkans,"11,18","45,22","18,56"
MRT,48,Mauritanie,Mauritania,Mauritania,"24,03",7,55,"25,27",Afrique,"-1,24","45,11","24,03"
ROU,49,Roumanie,Romania,Rumania,"24,29",3,52,"24,9",UE Balkans,"-0,609999999999999","17,92","24,29"
COM,50,Comores,Comoros,Comoras,"24,33",0,50,"24,52",Afrique,"-0,190000000000001",0,"24,33"
TWN,51,Taïwan,Taiwan,Taiwàn,"24,37",0,51,"24,83",Asie-Pacifique,"-0,459999999999997",0,"24,37"
NER,52,Niger,Niger,Niger,"24,62",-5,47,"23,85",Afrique,"0,77","27,08","24,01"
HTI,53,Haïti,Haiti,Haití,"24,66",0,53,"25,08",Amériques,"-0,419999999999998",0,"24,66"
ARG,54,Argentine,Argentina,Argentina,"25,09",3,57,"26,11",Amériques,"-1,02","13,86","25,09"
PNG,55,Papouasie-Nouvelle-Guinée,Papua New Guinea,Papœa Nueva Guinea,"25,81",1,56,"25,87",Asie-Pacifique,"-0,060000000000002","6,93","25,81"
MDG,56,Madagascar,Madagascar,Madagascar,"27,04",8,64,"27,43",Afrique,"-0,390000000000001","17,92","27,04"
GUY,57,Guyana,Guyana,Guyana,"27,07",5,62,"27,21",Amériques,"-0,140000000000001",0,"27,07"
SLV,58,El Salvador,El Salvador,El Salvador,"27,2",-13,45,"23,66",Amériques,"3,54","24,85","27,2"
SRB,59,Serbie,Serbia,Serbia,"27,6",8,67,"27,66",UE Balkans,"-0,059999999999999","31,35","26,66"
MNG,60,Mongolie,Mongolia,Mongolia,"27,61",-6,54,"25,25",Asie-Pacifique,"2,36","6,93","27,61"
MUS,61,Maurice,Mauritius,Mauricio,"27,69",7,68,"27,69",Afrique,0,0,"27,69"
DOM,62,République dominicaine,Dominican Republic,Repœblica Dominicana,"27,9",1,63,"27,31",Amériques,"0,59",0,"27,9"
HRV,63,Croatie,Croatia,Croacia,"27,91",-5,58,"26,12",UE Balkans,"1,79","37,38","25,54"
GEO,64,Géorgie,Georgia,Georgia,"27,96",5,69,"27,7",EEAC,"0,260000000000002","6,93","27,96"
SEN,65,Sénégal,Senegal,Senegal,"27,99",6,71,"27,77",Afrique,"0,219999999999999","17,92","27,99"
MWI,66,Malawi,Malawi,Malaui,"28,12",-7,59,"26,41",Afrique,"1,71",0,"28,12"
HUN,67,Hongrie,Hungary,Hungría,"28,17",-2,65,"27,44",UE Balkans,"0,73","6,93","28,17"
BIH,68,Bosnie-Herzégovine,Bosnia and Herzegovina,Bosnia-Herzegovina,"28,45",-2,66,"27,51",UE Balkans,"0,939999999999998","17,92","28,45"
HKG,69,Hong Kong,Hong Kong,Hong Kong,"28,5",1,70,"27,76",Asie-Pacifique,"0,739999999999998",0,"28,5"
KOR,70,Corée du Sud,South Korea,Corea del Sur,"28,58",-10,60,"26,55",Asie-Pacifique,"2,03",0,"28,58"
TZA,71,Tanzanie,Tanzania,Tanzania,"28,65",4,75,"28,09",Afrique,"0,559999999999999",0,"28,65"
JPN,72,Japon,Japan,Japón,"28,67",-11,61,"26,95",Asie-Pacifique,"1,72",0,"28,67"
LSO,73,Lesotho,Lesotho,Lesoto,"28,78",4,77,"28,36",Afrique,"0,420000000000002",0,"28,78"
ARM,74,Arménie,Armenia,Armenia,"28,79",4,78,"28,43",EEAC,"0,359999999999999","33,67","27,57"
NIC,75,Nicaragua,Nicaragua,Nicaragua,"28,82",-1,74,"27,94",Amériques,"0,879999999999999",0,"28,82"
MDA,76,Moldavie,Moldova,Moldavia,"28,83",-4,72,"27,85",EEAC,"0,979999999999997","6,93","28,83"
ITA,77,Italie,Italy,Italia,"28,93",-4,73,"27,94",UE Balkans,"0,989999999999998","38,29","26,59"
BEN,78,Bénin,Benin,Benín,"28,97",6,84,"29,24",Afrique,"-0,27",0,"28,97"
GNB,79,Guinée-Bissau,Guinea-Bissau,Guinea-Bisàu,"29,03",2,81,"28,7",Afrique,"0,330000000000002",0,"29,03"
FJI,80,Fidji,Fiji,Fiyi,"29,37",13,93,"31,28",Asie-Pacifique,"-1,91",0,"29,37"
CTU,81,Chypre (partie Nord),Cyprus North,Chipre Norte,"29,54",-5,76,"28,33",UE Balkans,"1,21",0,"29,54"
ALB,82,Albanie,Albania,Albania,"29,92",0,82,"28,77",UE Balkans,"1,15","23,03","29,92"
SLE,83,Sierra Leone,Sierra Leone,Sierra Leona,"29,94",-4,79,"28,47",Afrique,"1,47","10,99","29,94"
PER,84,Pérou,Peru,Peru,"29,99",8,92,"31,21",Amériques,"-1,22","48,6","25,34"
KGZ,85,Kirghizstan,Kyrgyzstan,Kirguistàn,"30,16",3,88,"30,69",EEAC,"-0,530000000000001","29,96","30,16"
CIV,86,Côte d'Ivoire,Ivory Coast,Costa de Marfil,"30,17",0,86,"30,45",Afrique,"-0,279999999999998","17,92","30,17"
MOZ,87,Mozambique,Mozambique,Mozambique,"30,25",-2,85,"29,98",Afrique,"0,27","45,22","26,51"
TGO,88,Togo,Togo,Togo,"30,31",-8,80,"28,5",Afrique,"1,81",0,"30,31"
GRC,89,Grèce,Greece,Grecia,"30,35",2,91,"31,01",UE Balkans,"-0,66","25,65","30,35"
XKO,90,Kosovo,Kosovo,Kosovo,"30,5",-3,87,"30,63",UE Balkans,"-0,129999999999999",45,"26,87"
PAN,91,Panama,Panama,Panamà,"30,59",-8,83,"28,98",Amériques,"1,61",0,"30,59"
SYC,92,Seychelles,Seychelles,Seychelles,"30,6",4,96,"31,55",Afrique,"-0,949999999999999",0,"30,6"
LBR,93,Liberia,Liberia,Liberia,"30,71",-4,89,"30,78",Afrique,"-0,07",0,"30,71"
BTN,94,Bhoutan,Bhutan,Butàn,"30,73",10,104,"32,65",Asie-Pacifique,"-1,92",0,"30,73"
KEN,95,Kenya,Kenya,Kenia,"31,16",5,100,"32,07",Afrique,"-0,91","45,75","27,51"
TUN,96,Tunisie,Tunisia,Tœnez,"31,6",30,126,"38,68",MENA,"-7,08","27,73","31,6"
BOL,97,Bolivie,Bolivia,Bolivia,"31,78",-3,94,"31,29",Amériques,"0,490000000000002","21,97","31,78"
LBN,98,Liban,Lebanon,Líbano,"31,95",0,98,"31,81",MENA,"0,140000000000001","32,19","31,89"
TLS,99,Timor-Leste,East Timor,Timor Oriental,"32,02",4,103,"32,63",Asie-Pacifique,"-0,609999999999999",0,"32,02"
GAB,100,Gabon,Gabon,Repœblica Gabonesa,"32,2",-5,95,"31,38",Afrique,"0,820000000000004",0,"32,2"
ISR,101,Israël,Israel,Israel,"32,58",0,101,"32,09",MENA,"0,489999999999995","44,05","29,71"
UGA,102,Ouganda,Uganda,Uganda,"32,58",-5,97,"31,65",Afrique,"0,93","31,35","32,58"
KWT,103,Koweït,Kuwait,Kuwait,"32,59",-13,90,"30,84",MENA,"1,75","35,84","31,78"
BRA,104,Brésil,Brazil,Brasil,"32,62",-5,99,"31,93",Amériques,"0,689999999999998","59,96","25,78"
NPL,105,Népal,Nepal,Nepal,"32,62",0,105,"32,71",Asie-Pacifique,"-0,090000000000003","31,35","32,62"
MNE,106,Monténégro,Montenegro,Montenegro,"32,79",8,114,"34,63",UE Balkans,"-1,84","30,45","32,79"
UKR,107,Ukraine,Ukraine,Ucrania,"32,93",22,129,"39,1",EEAC,"-6,17","55,8","27,21"
GIN,108,Guinée,Guinea,Guinea,"33,08",-6,102,"32,56",Afrique,"0,519999999999996","27,08","33,08"
ECU,109,Equateur,Ecuador,Ecuador,"33,21",-1,108,"33,65",Amériques,"-0,439999999999998","27,73","33,21"
CAF,110,République centrafricaine,Central African Republic,Repœblica Centroafricana,"33,6",0,110,"33,84",Afrique,"-0,240000000000002","23,03","33,6"
PRY,111,Paraguay,Paraguay,Paraguay,"33,63",-2,109,"33,74",Amériques,"-0,109999999999999",0,"33,63"
MDV,112,Maldives,Maldives,Maldivas,"34,17",0,112,"34,32",Asie-Pacifique,"-0,149999999999999","20,79","34,17"
BGR,113,Bulgarie,Bulgaria,Bulgaria,"34,46",-7,106,"32,91",UE Balkans,"1,55","16,09","34,46"
ZMB,114,Zambie,Zambia,Zambia,"35,08",-1,113,"34,35",Afrique,"0,729999999999997","31,35","35,08"
COG,115,Congo,Congo,Repœblica del Congo,"35,84",-8,107,33,Afrique,"2,84","55,13","31,02"
NGA,116,Nigeria,Nigeria,Nigeria,"35,9",-5,111,"34,09",Afrique,"1,81","52,93","31,65"
QAT,117,Qatar,Qatar,Catar,"35,97",-2,115,"35,35",MENA,"0,619999999999997","6,93","35,97"
MKD,118,Macédoine,Macedonia,Repœblica de Macedonia,"36,09",-1,117,"36,26",UE Balkans,"-0,169999999999995","23,98","36,09"
ARE,119,Emirats arabes unis,United Arab Emirates,Emiratos çrabes Unidos,"36,73",1,120,"36,73",MENA,0,0,"36,73"
AFG,120,Afghanistan,Afghanistan,Afganistàn,"37,75",2,122,"37,44",Asie-Pacifique,"0,310000000000002","55,76","33,25"
GTM,121,Guatemala,Guatemala,Guatemala,"38,03",3,124,"37,92",Amériques,"0,109999999999999","54,97","33,79"
MLI,122,Mali,Mali,Malí,"39,83",-4,118,"36,33",Afrique,"3,5","45,11","39,83"
AGO,123,Angola,Angola,Angola,"39,89",0,123,"37,84",Afrique,"2,05","16,09","39,89"
ZWE,124,Zimbabwe,Zimbabwe,Zimbabue,"40,41",7,131,"39,19",Afrique,"1,22","26,39","40,41"
OMN,125,Oman,Oman,Omàn,"40,43",2,127,"38,83",MENA,"1,6","31,35","40,43"
CMR,126,Cameroun,Cameroon,Camerœn,"40,53",7,133,"39,63",Afrique,"0,899999999999999","23,98","40,53"
TCD,127,Tchad,Chad,Chad,"40,59",8,135,"40,17",Afrique,"0,420000000000002","17,92","40,59"
KHM,128,Cambodge,Cambodia,Camboya,"40,7",11,139,"40,99",Asie-Pacifique,"-0,289999999999999","16,09","40,7"
DZA,129,Algérie,Algeria,Argelia,"41,69",-10,119,"36,63",MENA,"5,06","29,44","41,69"
IDN,130,Indonésie,Indonesia,Indonesia,"41,72",8,138,"40,75",Asie-Pacifique,"0,969999999999999","16,09","41,72"
MAR,131,Maroc,Morocco,Marruecos,"42,64",-1,130,"39,19",MENA,"3,45","29,96","42,64"
PSE,132,Palestine,Palestine,Palestina,"42,93",8,140,"41,01",MENA,"1,92","60,45","38,55"
IND,133,Inde,India,India,"43,17",3,136,"40,49",Asie-Pacifique,"2,68","64,28","37,89"
COL,134,Colombie,Colombia,Colombia,"44,11",-6,128,"39,08",Amériques,"5,03","56,97","40,9"
JOR,135,Jordanie,Jordan,Jordania,"44,49",8,143,"42,07",MENA,"2,42","20,79","44,49"
THA,136,Thaïlande,Thailand,Tailandia,"44,53",-2,134,"40,07",Asie-Pacifique,"4,46","50,04","43,15"
HND,137,Honduras,Honduras,Honduras,"44,62",-5,132,"39,27",Amériques,"5,34999999999999","66,5","39,15"
PHL,138,Philippines,Philippines,Filipinas,"44,66",3,141,"41,19",Asie-Pacifique,"3,47","63,1","40,05"
VEN,139,Venezuela,Venezuela,Venezuela,"44,77",-2,137,"40,61",Amériques,"4,16","32,19","44,77"
SSD,140,Soudan du Sud,South Sudan,Sudàn del Sur,"44,87",-15,125,"38,04",Afrique,"6,83","52,42","40,32"
LKA,141,Sri Lanka,Sri Lanka,Sri Lanka,"44,96",24,165,"60,28",Asie-Pacifique,"-15,32","47,45","44,34"
ETH,142,Ethiopie,Ethiopia,Etiopía,"45,13",0,142,"41,83",Afrique,"3,3","60,26","41,35"
MMR,143,Birmanie,Myanmar,Birmania,"45,48",1,144,"42,08",Asie-Pacifique,"3,4","50,5","44,23"
BGD,144,Bangladesh,Bangladesh,Bangladés,"45,94",2,146,"42,95",Asie-Pacifique,"2,98999999999999","57,84","42,96"
GMB,145,Gambie,Gambia,Gambia,"46,53",6,151,"44,5",Afrique,"2,03","46,96","46,43"
MYS,146,Malaisie,Malaysia,Malasia,"46,57",1,147,"43,29",Asie-Pacifique,"3,28","19,46","46,57"
PAK,147,Pakistan,Pakistan,Pakistàn,"48,52",12,159,"50,46",Asie-Pacifique,"-1,94","54,97","46,91"
RUS,148,Russie,Russian Federation,Rusia,"49,03",4,152,"44,97",EEAC,"4,06","51,06","48,53"
MEX,149,Mexique,Mexico,México,"49,33",-1,148,"43,69",Amériques,"5,64","66,46","44,52"
TJK,150,Tadjikistan,Tajikistan,Tayikistàn,"50,34",-34,116,"36,19",EEAC,"14,15","13,86","50,34"
TUR,151,Turquie,Turkey,Turquía,"50,76",-2,149,"44,16",EEAC,"6,6","61,92","47,97"
COD,152,RD Congo,The Democratic Republic Of The Congo,RD Congo,"50,97",-2,150,"44,31",Afrique,"6,66","13,86","50,97"
SWZ,153,Swaziland,Swaziland,Suazilandia,"52,37",2,155,"47,28",Afrique,"5,09",0,"52,37"
SGP,154,Singapour,Singapore,Singapur,"52,96",-1,153,"45,87",Asie-Pacifique,"7,09",0,"52,96"
BRN,155,Brunei,Brunei Darussalam,Brunéi,"53,85",-34,121,"36,76",Asie-Pacifique,"17,09",0,"53,85"
BDI,156,Burundi,Burundi,Burundi,"54,1",-11,145,"42,93",Afrique,"11,17","57,59","53,23"
BLR,157,Bélarus,Belarus,Bielorrusia,"54,32",0,157,"47,98",EEAC,"6,34","28,9","54,32"
IRQ,158,Irak,Iraq,Irak,"54,35",-2,156,"47,76",MENA,"6,59","73,94","49,45"
EGY,159,Egypte,Egypt,Egipto,"54,45",-1,158,"50,17",MENA,"4,28","63,06","52,29"
KAZ,160,Kazakhstan,Kazakhstan,Kazajistàn,"54,55",0,160,"53,46",EEAC,"1,09","37,84","54,55"
RWA,161,Rwanda,Rwanda,Ruanda,"54,61",0,161,"56,57",Afrique,"-1,96",0,"54,61"
BHR,162,Bahreïn,Bahrain,Baréin,"54,86",1,163,"58,69",MENA,"-3,83","59,84","53,61"
AZE,163,Azerbaïdjan,Azerbaijan,Azerbaiyàn,"57,89",-1,162,"58,41",EEAC,"-0,519999999999996","65,37","56,02"
LBY,164,Libye,Libya,Libia,"57,89",-10,154,"45,99",MENA,"11,9","67,72","55,44"
SAU,165,Arabie saoudite,Saudi Arabia,Arabia Saudita,"59,72",-1,164,"59,41",MENA,"0,310000000000002","57,2","59,72"
UZB,166,Ouzbékistan,Uzbekistan,Uzbekistàn,"61,15",0,166,"61,14",EEAC,"0,009999999999998",67,"59,68"
SOM,167,Somalie,Somalia,Somalia,"65,35",5,172,"72,31",Afrique,"-6,96000000000001","60,26","65,35"
GNQ,168,Guinée équatoriale,Equatorial Guinea,Guinea Ecuatorial,"66,47",-1,167,"66,23",Afrique,"0,239999999999995",0,"66,47"
IRN,169,Iran,Islamic Republic of Iran,Iràn,"66,52",4,173,"72,32",MENA,"-5,8",73,"64,91"
YEM,170,Yémen,Yemen,Yemen,"67,07",-2,168,"66,36",MENA,"0,709999999999994","73,88","65,37"
CUB,171,Cuba,Cuba,Cuba,"70,23",-2,169,"70,21",Amériques,"0,02000000000001","47,1","70,23"
DJI,172,Djibouti,Djibouti,Yibuti,"70,9",-2,170,"71,04",Afrique,"-0,140000000000001",0,"70,9"
LAO,173,Laos,Lao People's Democratic Republic,Laos,"71,58",-2,171,"71,25",Asie-Pacifique,"0,329999999999998","56,42","71,58"
SDN,174,Soudan,Sudan,Sudàn,"72,53",0,174,"72,34",Afrique,"0,189999999999998","24,85","72,53"
VNM,175,Vietnam,Vietnam,Vietnam,"74,27",0,175,"72,63",Asie-Pacifique,"1,64","66,81","74,27"
CHN,176,Chine,China,China,"80,96",0,176,"73,55",Asie-Pacifique,"7,41","90,44","78,59"
SYR,177,Syrie,Syrian Arab Republic,Siria,"81,35",0,177,"77,29",MENA,"4,05999999999999","84,36","80,6"
TKM,178,Turkménistan,Turkmenistan,Turkmenistàn,"83,44",0,178,"80,83",EEAC,"2,61","29,44","83,44"
PRK,179,Corée du Nord,Democratic People's Republic of Korea,Corea del Norte,"83,76",0,179,"83,25",Asie-Pacifique,"0,510000000000005","55,95","83,76"
ERI,180,Erythrée,Eritrea,Eritrea,"83,92",0,180,"84,86",Afrique,"-0,939999999999998","74,24","83,92"
