ISO,Rank2017,FR_Country,EN_country,ES_country,Score 2017,Progression RANK,Rank 2016,Score 2016,Zone,Diff Prog Score ,Score Exa,ScoreA
NOR,1,Norvège,Norway,Noruega,"7,6",2,3,"8,79",UE Balkans,"-1,19",0,"7,6"
SWE,2,Suede,Sweden,Suecia,"8,27",6,8,"12,33",UE Balkans,"-4,06","10,99","7,59"
FIN,3,Finlande,Finland,Finlandia,"8,92",-2,1,"8,59",UE Balkans,"0,33",0,"8,92"
DNK,4,Danemark,Denmark,Dinamarca,"10,36",0,4,"8,89",UE Balkans,"1,47",0,"10,36"
NLD,5,Pays-Bas,Netherlands,Países Bajos,"11,28",-3,2,"8,76",UE Balkans,"2,52","17,92","9,63"
CRI,6,Costa Rica,Costa Rica,Costa Rica,"11,93",0,6,"11,1",Amériques,"0,83",0,"11,93"
CHE,7,Suisse,Switzerland,Suiza,"12,13",0,7,"11,76",UE Balkans,"0,370000000000001",0,"12,13"
JAM,8,Jamaïque,Jamaica,Jamaica,"12,73",2,10,"12,45",Amériques,"0,280000000000001",0,"12,73"
BEL,9,Belgique,Belgium,Bélgica,"12,75",4,13,"14,18",UE Balkans,"-1,43","13,86","12,47"
ISL,10,Islande,Iceland,Islandia,"13,03",9,19,"15,3",UE Balkans,"-2,27",0,"13,03"
AUT,11,Autriche,Austria,Austria,"13,47",0,11,"13,18",UE Balkans,"0,290000000000001",0,"13,47"
EST,12,Estonie,Estonia,Estonia,"13,55",2,14,"14,31",UE Balkans,"-0,76",0,"13,55"
NZL,13,Nouvelle-Zélande,New Zealand,Nueva Zelanda,"13,98",-8,5,"10,01",Asie-Pacifique,"3,97",0,"13,98"
IRL,14,Irlande,Ireland,Irlanda,"14,08",-5,9,"12,4",UE Balkans,"1,68",0,"14,08"
LUX,15,Luxembourg,Luxembourg,Luxemburgo,"14,72",0,15,"14,43",UE Balkans,"0,290000000000001",0,"14,72"
DEU,16,Allemagne,Germany,Alemania,"14,97",0,16,"14,8",UE Balkans,"0,17","29,44","11,35"
SVK,17,Slovaquie,Slovakia,Eslovaquia,"15,51",-5,12,"13,26",UE Balkans,"2,25",0,"15,51"
PRT,18,Portugal,Portugal,Portugal,"15,77",5,23,"17,27",UE Balkans,"-1,5",0,"15,77"
AUS,19,Australie,Australia,Australia,"16,02",6,25,"17,84",Asie-Pacifique,"-1,82",0,"16,02"
SUR,20,Surinam,Suriname,Surinam,"16,07",2,22,"16,7",Amériques,"-0,629999999999999",0,"16,07"
WSM,21,Samoa,Samoa,Samoa,"16,41",8,29,"18,8",Asie-Pacifique,"-2,39",0,"16,41"
CAN,22,Canada,Canada,Canadà,"16,53",-4,18,"15,26",Amériques,"1,27",0,"16,53"
CZE,23,République tchèque,Czech Republic,Repœblica Checa,"16,91",-2,21,"16,66",UE Balkans,"0,25",0,"16,91"
NAM,24,Namibie,Namibia,Namibia,"17,08",-7,17,"15,15",Afrique,"1,93",0,"17,08"
URY,25,URUGUAY,Uruguay,Uruguay,"17,43",-5,20,"15,88",Amériques,"1,55","6,93","17,43"
GHA,26,Ghana,Ghana,Ghana,"17,95",0,26,"17,95",Afrique,0,0,"17,95"
CPV,27,Cap-Vert,Cape Verde,Cabo Verde,"18,02",5,32,"19,82",Afrique,"-1,8",0,"18,02"
LVA,28,Lettonie,Latvia,Letonia,"18,62",-4,24,"17,38",UE Balkans,"1,24",0,"18,62"
ESP,29,Espagne,Spain,España,"18,69",5,34,"19,92",UE Balkans,"-1,23","23,98","17,36"
CYP,30,Chypre,Cyprus,Chipre,"19,79",-3,27,"18,26",UE Balkans,"1,53",0,"19,79"
ZAF,31,Afrique du Sud,South Africa,Sudàfrica,"20,12",8,39,"21,92",Afrique,"-1,8",0,"20,12"
LIE,32,Liechtenstein,Liechtenstein,Liechtenstein,"20,31",-4,28,"18,36",UE Balkans,"1,95",0,"20,31"
CHL,33,Chili,Chile,Chile,"20,53",-2,31,"19,23",Amériques,"1,3","20,79","19,94"
TTO,34,Trinité-et-Tobago,Trinidad and Tobago,Trinidad y Tobago,"20,62",10,44,"23,29",Amériques,"-2,67",0,"20,62"
AND,35,Andorre,Andorra,Andorra,"21,03",-2,33,"19,87",UE Balkans,"1,16",0,"21,03"
LTU,36,Lituanie,Lithuania,Lituania,"21,37",-1,35,"19,95",UE Balkans,"1,42","6,93","21,37"
SVN,37,Slovénie,Slovenia,Eslovenia,"21,7",3,40,"22,26",UE Balkans,"-0,560000000000002",0,"21,7"
XCD,38,OECS,OECS,OECS,"22,1",-8,30,"18,91",Amériques,"3,19",0,"22,1"
FRA,39,France,France,Francia,"22,24",6,45,"23,83",UE Balkans,"-1,59","23,03","22,04"
GBR,40,Royaume-Uni,United Kingdom,Reino Unido,"22,26",-2,38,"21,7",UE Balkans,"0,560000000000002",0,"22,26"
BLZ,41,Bélize,Belize,Belice,"23,43",-5,36,"20,61",Amériques,"2,82",0,"23,43"
BFA,42,Burkina Faso,Burkina Faso,Burkina Faso,"23,85",0,42,"22,66",Afrique,"1,19","6,93","23,85"
USA,43,Etats Unis,United States,Estados Unidos,"23,88",-2,41,"22,49",Amériques,"1,39","24,85","23,27"
COM,44,Comores,Comoros,Comoras,"24,33",6,50,"24,33",Afrique,0,0,"24,33"
TWN,45,Taïwan,Taiwan,Taiwàn,"24,37",6,51,"24,37",Asie-Pacifique,0,0,"24,37"
ROU,46,Roumanie,Romania,Rumania,"24,46",3,49,"24,29",UE Balkans,"0,170000000000002",0,"24,46"
MLT,47,Malte,Malta,Malta,"24,76",-1,46,"23,84",UE Balkans,"0,920000000000002",0,"24,76"
BWA,48,Botswana,Botswana,Botsuana,"24,93",-5,43,"22,91",Afrique,"2,02",0,"24,93"
TON,49,Tonga,Tonga,Tonga,"24,97",-12,37,"21,24",Asie-Pacifique,"3,73",0,"24,97"
ARG,50,Argentine,Argentina,Argentina,"25,07",4,54,"25,09",Amériques,"-0,02","37,14","22,05"
PNG,51,Papouasie-Nouvelle-Guinée,Papua New Guinea,Papœa Nueva Guinea,"25,07",4,55,"25,81",Asie-Pacifique,"-0,739999999999998",0,"25,07"
ITA,52,Italie,Italy,Italia,"26,26",25,77,"28,93",UE Balkans,"-2,67","30,45","25,04"
HTI,53,Haïti,Haiti,Haití,"26,36",0,53,"24,66",Amériques,"1,7","16,09","26,36"
POL,54,Pologne,Poland,Polonia,"26,47",-7,47,"23,89",UE Balkans,"2,58",0,"26,47"
MRT,55,Mauritanie,Mauritania,Mauritania,"26,49",-7,48,"24,03",Afrique,"2,46","13,86","26,26"
MUS,56,Maurice,Mauritius,Mauricio,"26,67",5,61,"27,69",Afrique,"-1,02",0,"26,67"
MDG,57,Madagascar,Madagascar,Madagascar,"26,71",-1,56,"27,04",Afrique,"-0,329999999999998",0,"26,71"
SEN,58,Sénégal,Senegal,Senegal,"26,72",7,65,"27,99",Afrique,"-1,27",0,"26,72"
DOM,59,Rep Dom,Dominican Republic,Repœblica Dominicana,"26,76",3,62,"27,9",Amériques,"-1,14","13,86","26,76"
GUY,60,Guyana,Guyana,Guyana,"26,8",-3,57,"27,07",Amériques,"-0,27",0,"26,8"
NER,61,Niger,Niger,Niger,"27,21",-9,52,"24,62",Afrique,"2,59","10,99","27,21"
SLV,62,El Salvador,El Salvador,El Salvador,"27,24",-4,58,"27,2",Amériques,"0,039999999999999","45,22","22,75"
KOR,63,Corée du Sud,South Korea,Corea del Sur,"27,61",7,70,"28,58",Asie-Pacifique,"-0,969999999999999",0,"27,61"
GEO,64,Géorgie,Georgia,Georgia,"27,76",0,64,"27,96",EEAC,"-0,199999999999999",0,"27,76"
BIH,65,Bosnie-Herzégovine,Bosnia and Herzegovina,Bosnia-Herzegovina,"27,83",3,68,"28,45",UE Balkans,"-0,620000000000001","21,97","27,71"
SRB,66,Serbie,Serbia,Serbia,"28,05",-7,59,"27,6",UE Balkans,"0,449999999999999","6,93","28,05"
FJI,67,Fidji,Fiji,Fiyi,"28,64",13,80,"29,37",Asie-Pacifique,"-0,73",0,"28,64"
LSO,68,Lesotho,Lesotho,Lesoto,"28,78",5,73,"28,78",Afrique,0,"10,99","28,78"
MNG,69,Mongolie,Mongolia,Mongolia,"28,95",-9,60,"27,61",Asie-Pacifique,"1,34",0,"28,95"
MWI,70,Malawi,Malawi,Malaui,"28,97",-4,66,"28,12",Afrique,"0,849999999999998",0,"28,97"
HUN,71,Hongrie,Hungary,Hungría,"29,01",-4,67,"28,17",UE Balkans,"0,84","6,93","29,01"
JPN,72,Japon,Japan,Japón,"29,44",0,72,"28,67",Asie-Pacifique,"0,77",0,"29,44"
HKG,73,Hong-Kong,Hong Kong,Hong Kong,"29,46",-4,69,"28,5",Asie-Pacifique,"0,960000000000001","19,46","29,46"
HRV,74,Croatie,Croatia,Croacia,"29,59",-11,63,"27,91",UE Balkans,"1,68","16,09","29,59"
CYP,75,Chypre (partie Nord),Cyprus North,Chipre Norte,"29,88",6,81,"29,54",UE Balkans,"0,34",0,"29,88"
ALB,76,Albanie,Albania,Albania,"29,92",6,82,"29,92",UE Balkans,0,"16,09","29,92"
GNB,77,Guinée-Bissau,Guinea-Bissau,Guinea-Bisàu,"30,09",2,79,"29,03",Afrique,"1,06",0,"30,09"
BEN,78,Bénin,Benin,Benín,"30,32",0,78,"28,97",Afrique,"1,35",0,"30,32"
ARM,79,Arménie,Armenia,Armenia,"30,38",-5,74,"28,79",EEAC,"1,59","24,85","30,38"
MDA,80,Moldavie,Moldova,Moldavia,"30,41",-4,76,"28,83",EEAC,"1,58","10,99","30,41"
CIV,81,Côte d'Ivoire,Ivory Coast,Costa de Marfil,"30,42",5,86,"30,17",Afrique,"0,25","21,97","30,27"
XKO,82,Kosovo,Kosovo,Kosovo,"30,45",8,90,"30,5",UE Balkans,"-0,050000000000001","19,46","30,45"
TZA,83,Tanzanie,Tanzania,Tanzania,"30,65",-12,71,"28,65",Afrique,2,"10,99","30,65"
BTN,84,Bhoutan,Bhutan,Butàn,"30,73",10,94,"30,73",Asie-Pacifique,0,0,"30,73"
SLE,85,Sierra Leone,Sierra Leone,Sierra Leona,"30,73",-2,83,"29,94",Afrique,"0,789999999999999",0,"30,73"
TGO,86,Togo,Togo,Togo,"30,75",2,88,"30,31",Afrique,"0,440000000000001",0,"30,75"
SYC,87,Seychelles,Seychelles,Seychelles,"30,86",5,92,"30,6",Afrique,"0,259999999999998",0,"30,86"
GRC,88,Grèce,Greece,Grecia,"30,89",1,89,"30,35",UE Balkans,"0,539999999999999","19,46","30,89"
KGZ,89,Kirghizstan,Kyrgyzstan,Kirguistàn,"30,92",-4,85,"30,16",EEAC,"0,760000000000002","10,99","30,92"
PER,90,Perou,Peru,Peru,"30,98",-6,84,"29,99",Amériques,"0,990000000000002","46,15","27,19"
ISR,91,Israël,Israel,Israel,"31,01",10,101,"32,58",MENA,"-1,57","13,86","31,01"
NIC,92,Nicaragua,Nicaragua,Nicaragua,"31,01",-17,75,"28,82",Amériques,"2,19","16,09","31,01"
MOZ,93,Mozambique,Mozambique,Mozambique,"31,05",-6,87,"30,25",Afrique,"0,800000000000001","23,03","31,05"
LBR,94,Liberia,Liberia,Liberia,"31,12",-1,93,"30,71",Afrique,"0,41","16,09","31,12"
KEN,95,Kenya,Kenya,Kenia,"31,2",0,95,"31,16",Afrique,"0,039999999999999","45,95","27,51"
PAN,96,Panama,Panama,Panamà,"32,12",-5,91,"30,59",Amériques,"1,53",0,"32,12"
TUN,97,Tunisie,Tunisia,Tœnez,"32,22",-1,96,"31,6",MENA,"0,619999999999997","21,97","32,22"
TLS,98,Timor-Leste,East Timor,Timor Oriental,"32,82",1,99,"32,02",Asie-Pacifique,"0,799999999999997",0,"32,82"
LBN,99,Liban,Lebanon,Líbano,"33,01",-1,98,"31,95",MENA,"1,06","23,03","32,9"
NPL,100,Népal,Nepal,Nepal,"33,02",5,105,"32,62",Asie-Pacifique,"0,400000000000006","13,86","33,02"
GIN,101,Guinée,Guinea,Guinea,"33,15",7,108,"33,08",Afrique,"0,07","45,75",30
UKR,102,Ukraine,Ukraine,Ucrania,"33,19",5,107,"32,93",EEAC,"0,259999999999998","50,43","28,88"
BRA,103,Brésil,Brazil,Brasil,"33,58",1,104,"32,62",Amériques,"0,960000000000001","58,92","27,25"
KWT,104,Koweït,Kuwait,Kuwait,"33,61",-1,103,"32,59",MENA,"1,02","40,94","31,78"
ECU,105,Equateur,Ecuador,Ecuador,"33,64",4,109,"33,21",Amériques,"0,43","32,19","33,64"
MNE,106,Monténégro,Montenegro,Montenegro,"33,65",0,106,"32,79",UE Balkans,"0,859999999999999",0,"33,65"
BOL,107,Bolivie,Bolivia,Bolivia,"33,88",-10,97,"31,78",Amériques,"2,1","30,91","33,88"
GAB,108,Gabon,Gabon,Repœblica Gabonesa,"34,83",-8,100,"32,2",Afrique,"2,63","34,34","34,56"
BGR,109,Bulgarie,Bulgaria,Bulgaria,"35,01",4,113,"34,46",UE Balkans,"0,549999999999997","6,93","35,01"
PRY,110,Paraguay,Paraguay,Paraguay,"35,64",1,111,"33,63",Amériques,"2,01","33,32","34,53"
