ISO,Rank2017,FR_Country,EN_country,ES_country,Score 2017,Progression RANK,Rank 2016,Score 2016,Zone,Diff Prog Score ,Score Exa,ScoreA
MKD,111,Macédoine,Macedonia,Repœblica de Macedonia,"35,74",7,118,"36,09",UE Balkans,"-0,350000000000001","21,97","35,74"
UGA,112,Ouganda,Uganda,Uganda,"35,94",-10,102,"32,58",Afrique,"3,36","44,19","33,88"
CAF,113,République centrafricaine,Central African Republic,Repœblica Centroafricana,"36,12",-3,110,"33,6",Afrique,"2,52","6,93","36,12"
ZMB,114,Zambie,Zambia,Zambia,"36,48",0,114,"35,08",Afrique,"1,4","24,85","36,48"
COG,115,Congo,Congo,Repœblica del Congo,"36,73",0,115,"35,84",Afrique,"0,889999999999993","28,9","36,73"
MLI,116,Mali,Mali,Malí,"38,27",6,122,"39,83",Afrique,"-1,56","23,03","38,27"
MDV,117,Maldives,Maldives,Maldivas,"39,3",-5,112,"34,17",Asie-Pacifique,"5,13","27,73","39,3"
GTM,118,Guatemala ,Guatemala,Guatemala,"39,33",3,121,"38,03",Amériques,"1,3","51,98","36,17"
ARE,119,Émirats arabes unis,United Arab Emirates,Emiratos çrabes Unidos,"39,39",0,119,"36,73",MENA,"2,66","47,45","37,37"
AFG,120,Afghanistan,Afghanistan,Afganistàn,"39,46",0,120,"37,75",Asie-Pacifique,"1,71","68,12","32,29"
TCD,121,Tchad,Chad,Chad,"39,66",6,127,"40,59",Afrique,"-0,930000000000007","10,99","39,66"
NGA,122,Nigeria,Nigeria,Nigeria,"39,69",-6,116,"35,9",Afrique,"3,79","35,55","39,69"
QAT,123,Qatar,Qatar,Catar,"39,83",-6,117,"35,97",MENA,"3,86","10,99","39,83"
IDN,124,Indonésie,Indonesia,Indonesia,"39,93",6,130,"41,72",Asie-Pacifique,"-1,79","36,11","39,29"
AGO,125,Angola,Angola,Angola,"40,42",-2,123,"39,89",Afrique,"0,530000000000001",0,"40,42"
OMN,126,Oman,Oman,Omàn,"40,46",-1,125,"40,43",MENA,"0,030000000000001","37,14","40,09"
PHL,127,Philippines,Philippines,Filipinas,"41,08",11,138,"44,66",Asie-Pacifique,"-3,58",0,"41,08"
ZWE,128,Zimbabwe,Zimbabwe,Zimbabue,"41,44",-4,124,"40,41",Afrique,"1,03","38,5","41,41"
COL,129,Colombie,Colombia,Colombia,"41,47",5,134,"44,11",Amériques,"-2,64","39,12","41,47"
CMR,130,Cameroun,Cameroon,Camerœn,"41,59",-4,126,"40,53",Afrique,"1,06","30,91","41,59"
MMR,131,Birmanie,Myanmar,Birmania,"41,82",12,143,"45,48",Asie-Pacifique,"-3,66","19,46","41,82"
KHM,132,Cambodge,Cambodia,Camboya,"42,07",-4,128,"40,7",Asie-Pacifique,"1,37",0,"42,07"
MAR,133,Maroc,Morocco,Marruecos,"42,42",-2,131,"42,64",MENA,"-0,219999999999999","31,35","42,42"
DZA,134,Algérie,Algeria,Argelia,"42,83",-5,129,"41,69",MENA,"1,14","35,55","42,37"
PSE,135,Palestine,Palestine,Palestina,"42,9",-3,132,"42,93",MENA,"-0,030000000000001","27,73","42,9"
IND,136,Inde,India,India,"42,94",-3,133,"43,17",Asie-Pacifique,"-0,230000000000004",57,"39,42"
VEN,137,VENEZUELA ,Venezuela,Venezuela,"42,94",2,139,"44,77",Amériques,"-1,83000000000001","45,33","42,34"
JOR,138,Jordanie,Jordan,Jordania,"43,24",-3,135,"44,49",MENA,"-1,25",45,"42,8"
PAK,139,Pakistan,Pakistan,Pakistàn,"43,55",8,147,"48,52",Asie-Pacifique,"-4,97000000000001","52,2","41,39"
HND,140,Honduras,Honduras,Honduras,"43,75",-3,137,"44,62",Amériques,"-0,869999999999997","48,44","42,54"
LKA,141,Sri Lanka,Sri Lanka,Sri Lanka,"44,34",0,141,"44,96",Asie-Pacifique,"-0,619999999999997","6,93","44,34"
THA,142,Thaïlande,Thailand,Tailandia,"44,69",-6,136,"44,53",Asie-Pacifique,"0,159999999999997","49,49","43,49"
GMB,143,Gambie,Gambia,Gambia,"46,7",2,145,"46,53",Afrique,"0,170000000000002","45,43","46,7"
MYS,144,Malaisie,Malaysia,Malasia,"46,89",2,146,"46,57",Asie-Pacifique,"0,32","6,93","46,89"
SSD,145,Soudan du Sud,South Sudan,Sudàn del Sur,"48,16",-5,140,"44,87",Afrique,"3,29","46,25","46,88"
BGD,146,Bangladesh,Bangladesh,Bangladés,"48,36",-2,144,"45,94",Asie-Pacifique,"2,42","53,03","47,19"
MEX,147,Mexique,Mexico,México,"48,97",2,149,"49,33",Amériques,"-0,359999999999999","68,15","44,18"
RUS,148,Russie,Russian Federation,Rusia,"49,45",0,148,"49,03",EEAC,"0,420000000000002","55,65","47,9"
TJK,149,Tadjikistan,Tajikistan,Tayikistàn,"50,27",1,150,"50,34",EEAC,"-0,07","35,55","50,27"
ETH,150,Éthiopie,Ethiopia,Etiopía,"50,34",-8,142,"45,13",Afrique,"5,21","59,66","47,23"
SGP,151,Singapour    ,Singapore,Singapur,"51,1",3,154,"52,96",Asie-Pacifique,"-1,86","6,93","51,1"
SWZ,152,Swaziland,Swaziland,Suazilandia,"51,27",1,153,"52,37",Afrique,"-1,09999999999999",0,"51,27"
BLR,153,Bélarus,Belarus,Bielorrusia,"52,43",4,157,"54,32",EEAC,"-1,89","37,84","52,43"
COD,154,RD Congo,The Democratic Republic Of The Congo,RD Congo,"52,67",-2,152,"50,97",Afrique,"1,7","50,94","52,67"
TUR,155,Turquie,Turkey,Turquía,"52,98",-4,151,"50,76",EEAC,"2,22","67,08","49,46"
BRN,156,Brunei,Brunei Darussalam,Brunéi,"53,72",-1,155,"53,85",Asie-Pacifique,"-0,130000000000003",0,"51,48"
KAZ,157,Kazakhstan,Kazakhstan,Kazajistàn,"54,01",3,160,"54,55",EEAC,"-0,539999999999999","44,19","54,01"
IRQ,158,Irak,Iraq,Irak,"54,03",0,158,"54,35",MENA,"-0,32","65,26","51,22"
RWA,159,Rwanda,Rwanda,Ruanda,"54,11",2,161,"54,61",Afrique,"-0,5","6,93","54,11"
BDI,160,Burundi,Burundi,Burundi,"55,78",-4,156,"54,1",Afrique,"1,68","40,6","55,78"
EGY,161,Égypte,Egypt,Egipto,"55,78",-2,159,"54,45",MENA,"1,33","68,07","52,71"
AZE,162,Azerbaïdjan,Azerbaijan,Azerbaiyàn,"56,4",1,163,"57,89",EEAC,"-1,49","61,07","55,23"
LBY,163,Libye,Libya,Libia,"56,81",1,164,"57,89",MENA,"-1,08","60,98","55,76"
BHR,164,Bahreïn,Bahrain,Baréin,"58,88",-2,162,"54,86",MENA,"4,02","62,67","57,94"
IRN,165,Iran,Islamic Republic of Iran,Iràn,"65,12",4,169,"66,52",MENA,"-1,39999999999999","70,76","63,69"
YEM,166,Yémen,Yemen,Yemen,"65,8",4,170,"67,07",MENA,"-1,27","63,42","65,36"
SOM,167,Somalie,Somalia,Somalia,"65,95",0,167,"65,35",Afrique,"0,600000000000009","55,68","65,11"
SAU,168,Arabie saoudite,Saudi Arabia,Arabia Saudita,"66,02",-3,165,"59,72",MENA,"6,3","61,59","64,97"
UZB,169,Ouzbékistan,Uzbekistan,Uzbekistàn,"66,11",-3,166,"61,15",EEAC,"4,96","64,85","65,04"
LAO,170,Laos,Lao People's Democratic Republic,Laos,"66,41",3,173,"71,58",Asie-Pacifique,"-5,17","56,7","66,41"
GNQ,171,Guinée équatoriale,Equatorial Guinea,Guinea Ecuatorial,"66,47",-3,168,"66,47",Afrique,0,0,"66,47"
DJI,172,Djibouti,Djibouti,Yibuti,"70,54",0,172,"70,9",Afrique,"-0,359999999999999","32,19","70,54"
CUB,173,Cuba,Cuba,Cuba,"71,75",-2,171,"70,23",Amériques,"1,52","51,93","71,75"
SDN,174,Soudan,Sudan,Sudàn,"73,56",0,174,"72,53",Afrique,"1,03","27,73","73,56"
VNM,175,Viêt Nam,Vietnam,Vietnam,"73,96",0,175,"74,27",Asie-Pacifique,"-0,310000000000002","68,15","73,96"
CHN,176,Chine,China,China,"77,66",0,176,"80,96",Asie-Pacifique,"-3,3","89,24","74,77"
SYR,177,Syrie,Syrian Arab Republic,Siria,"81,49",0,177,"81,35",MENA,"0,140000000000001","82,76","80,09"
TKM,178,Turkménistan,Turkmenistan,Turkmenistàn,"84,19",0,178,"83,44",EEAC,"0,75","35,26","84,19"
ERI,179,Érythrée,Eritrea,Eritrea,"84,24",1,180,"83,92",Afrique,"0,319999999999993","71,71","84,24"
PRK,180,Corée du Nord,Democratic People's Republic of Korea,Corea del Norte,"84,98",-1,179,"83,76",Asie-Pacifique,"1,22","51,93","84,98"
